node name,node elevation,x_pos,y_pos
n11,0.0318661201510816,0,0
n21,5.46217931746925,25.5,200
n22,5.46217931746925,33.25,200
n23,5.46217931746925,41,200
n24,5.46217931746925,48.75,200
n25,5.46217931746925,56.5,200
n31,7.04473782376108,58.5,500
n32,7.04473782376108,67.75,500
n33,7.04473782376108,77,500
n34,7.04473782376108,86.25,500
n35,7.04473782376108,95.5,500
n41,7.76297435102721,86.25,750
n42,7.76297435102721,96,750
n43,7.76297435102721,105.75,750
n44,7.76297435102721,115.5,750
n51,6.41803508399557,102.5,950
n52,6.41803508399557,110.5,950
n53,6.41803508399557,146.5,950
n54,6.41803508399557,154.5,950
n55,6.41803508399557,162.5,950
n56,6.41803508399557,170.5,950
n57,6.41803508399557,178.5,950
n61,3.44332026234631,135.5,1300
n62,3.44332026234631,144.5,1300
n63,3.44332026234631,153.5,1300
n64,3.44332026234631,162.5,1300
n65,3.44332026234631,171.5,1300
n71,-11.4885349439419,235.5,2300
n72,-11.4885349439419,259.5,2300
n73,-11.4885349439419,269,2300
n74,-11.4885349439419,278.5,2300
n75,-11.4885349439419,288,2300
n76,-11.4885349439419,297.5,2300
n81,0.00159679314725902,290,3000
